topic_id,选题标题,选题标题中文翻译,原始链接,来源,来源等级,栏目,主线,发布时间,发现日期,AI摘要,AI摘要中文翻译,用户价值,可靠性评分,传播性评分,实用性评分,事实核验,实测状态,发布状态,草稿路径,复盘结论
T20260626-006,Mapping Political-Elite Networks in Europe with a Multilingual Joint Entity-Relation Extraction Pipeline,中文译名待精校：Mapping Political-Elite Networks in Europe with a Multilingual Joint Entity-Relation Extraction Pipeline,http://arxiv.org/abs/2606.27347v1,arXiv,S,论文变应用,热点,2026-06-25T17:51:59Z,2026-06-26,"Whether political elites organise into rent-seeking coalitions that capture public resources or civic networks that sustain governance is a central question in comparative politics. Yet observing these complex, informal, and adversarial ties at scale has historically required intensive manual coding, while automated text-as-data methods have largely been limited to simple co-occurrence. Recent large language model (LLM) approaches offer a path forward but often rely on proprietary APIs, lack cross-lingual capability, and struggle with scalable entity resolution. We present a modular, fully open-weight pipeline for multilingual joint entity-relation extraction that builds signed, temporal knowledge graphs from massive unstructured news corpora. It combines span-based named-entity recognition (NER) with a three-stage linking cascade mapping mentions to language-independent Wikidata identifiers; a high-throughput, ontology-constrained mixture-of-experts model then uses guided decoding to extract directed, signed relationships grounded in a domain ontology. A full-coverage spot-check against a 3491-relation gold standard shows high textual correctness (68.2% strict to 93.7% lenient). Two large-scale case studies validate the pipeline against the public record. In Austria, it reconstructs a political party's complete lifecycle, dating internal fractures and tracking personnel into successor factions and court convictions. In a Polish corpus, it uncovers the overlapping economic and governance networks of state-enterprise patronage, alongside the structurally balanced, signed conflict network of the polarized Civic Platform (Platforma Obywatelska, PO)--Law and Justice (Prawo i Sprawiedliwość, PiS) duopoly. By bridging raw multilingual text and structured relational data, our framework provides a robust, replicable foundation for cross-national empirical computational social science.",中文摘要待精校：这是一条英文论文摘要，发布前需要翻译为中文并提炼研究问题、方法、结论、适用场景和限制，适合进入“论文变应用”。,适合拆成论文变应用或技术趋势判断。,5,3,3,待核验,不需要,候选,,
T20260626-007,Understanding Domain-Aware Distribution Alignment in Budgeted Entity Matching,中文译名待精校：Understanding Domain-Aware Distribution Alignment in Budgeted Entity Matching,http://arxiv.org/abs/2606.27342v1,arXiv,S,论文变应用,热点,2026-06-25T17:49:48Z,2026-06-26,"Entity Matching (EM) is a core operation in the data integration pipeline, where records from different sources are compared to determine whether they refer to the same real-world entity. Recent work has incorporated domain information and low-resource learning techniques to better adapt EM systems to realistic settings. While these approaches have demonstrated strong performance, it remains unclear how they behave under varying data constraints and levels of supervision in practice. In this paper, we investigate a state-of-the-art method for low-resource, domain-aware EM--BEACON--and study how its performance is affected by different algorithmic choices and data availability conditions. We conduct a series of targeted experiments to evaluate these variations, providing deeper insight into the role of distribution alignment and the behavior of the BEACON framework.",中文摘要待精校：这是一条英文论文摘要，发布前需要翻译为中文并提炼研究问题、方法、结论、适用场景和限制，适合进入“论文变应用”。,适合拆成论文变应用或技术趋势判断。,5,3,3,待核验,不需要,候选,,
T20260626-008,Language-Based Digital Twins for Elderly Cognitive Assistance,中文译名待精校：Language-Based Digital Twins for Elderly Cognitive Assistance,http://arxiv.org/abs/2606.27334v1,arXiv,S,论文变应用,热点,2026-06-25T17:45:53Z,2026-06-26,"Digital twins have emerged as a promising paradigm for personalized healthcare, enabling modeling of individual behavior and health trajectories. In cognitive health, early detection of Mild Cognitive Impairment (MCI) remains challenging, where language and conversational patterns serve as non-invasive biomarkers. In this work, we propose a language-based digital twin framework that leverages large language models (LLMs) to mimic the conversational behavior of elderly individuals by incorporating stylometric cues and contextual metadata. To evaluate fidelity and cognitive consistency, we introduce a multi-head conditional variational autoencoder (cVAE) that jointly measures reconstruction quality and predicts cognitive scores. Experiments on the I-CONECT dataset show that the digital twin preserves identity-specific characteristics and achieves reconstruction and MoCA prediction errors comparable to real data, while outperforming baseline GPT-generated responses. These results highlight the potential of language-based digital twins as a scalable and non-invasive approach for personalized and continuous cognitive health monitoring.",中文摘要待精校：这是一条英文论文摘要，发布前需要翻译为中文并提炼研究问题、方法、结论、适用场景和限制，适合进入“论文变应用”。,适合拆成论文变应用或技术趋势判断。,5,3,3,待核验,不需要,候选,,
T20260626-009,Empowering GUI Agents via Autonomous Experience Exploration and Hindsight Experience Utilization for Task Planning,中文译名待精校：Empowering GUI Agents via Autonomous Experience Exploration and Hindsight Experience Utilization for Task Planning,http://arxiv.org/abs/2606.27330v1,arXiv,S,论文变应用,热点,2026-06-25T17:44:48Z,2026-06-26,"Multimodal web agents can assist humans in operating repetitive GUI tasks, where effective task planning is essential for decomposing complex tasks into executable actions. While small open source MLLMs are cost efficient and privacy preserving compared with commercial large models, they suffer from weak planning and limited cross website generalization. To address these limitations, we introduce the planning experience exploration and utilization (PEEU) method, which autonomously explores environments to discover experiences and utilizes hindsight experience to synthesize strictly aligned, high level training data. To quantitatively analyze the generalization behaviors driving this performance, we propose the task decomposition hierarchical analysis framework (TDHAF) to systematically study compositional generalization across three task granularities: low, middle and high levels. Our analysis reveals that mastering low level atomic skills does not guarantee high level planning competence, while high level task training yields stronger OOD generalization. Experiments on real world benchmarks demonstrate PEEU's superior effectiveness: our 7B model achieves 30.6% accuracy, outperforming the much larger Qwen2.5-VL-32B model. These demonstrate constructing hindsight high level tasks and leveraging experiences is crucial for OOD planning abilities of small MLLMs.",中文摘要待精校：这是一条英文论文摘要，发布前需要翻译为中文并提炼研究问题、方法、结论、适用场景和限制，适合进入“论文变应用”。,适合拆成论文变应用或技术趋势判断。,5,3,3,待核验,不需要,候选,,
T20260626-010,Hallucination in World Models is Predictable and Preventable,中文译名待精校：Hallucination in World Models is Predictable and Preventable,http://arxiv.org/abs/2606.27326v1,arXiv,S,论文变应用,热点,2026-06-25T17:38:45Z,2026-06-26,"Modern generative world models render increasingly realistic action-controllable futures, yet they frequently hallucinate: rollouts remain visually fluent while drifting from the ground-truth dynamics. We hypothesize that hallucination concentrates in low-coverage regions of the state-action space, where lightweight data-centric signals can both detect it and guide mitigation. To test this, we introduce MMBench2, a 427-hour, 210-task dataset for visual world modeling with ground-truth actions, rewards, and live simulators, and train a 350M-parameter world model on it. We identify three distinct hallucination modes: perceptual, action-marginalized, and scene-diverging -- each anchored to a different stage of the pipeline, and develop three signals that accurately predict where the model will fail. To close coverage gaps at training time, we develop a coverage-aware sampling technique; to close them online, our hallucination predictors serve as curiosity rewards for targeted data collection, yielding a data-efficient finetuning recipe that adapts the pretrained world model to entirely unseen environments with as few as 50 real environment trajectories. Overall, our findings reveal that hallucination in world models is inherently a data coverage issue, and that the same signals used to detect it can also be used for mitigation. An interactive web version of our paper is available at https://www.nicklashansen.com/mmbench2",中文摘要待精校：这是一条英文论文摘要，发布前需要翻译为中文并提炼研究问题、方法、结论、适用场景和限制，适合进入“论文变应用”。,适合拆成论文变应用或技术趋势判断。,5,3,3,待核验,不需要,候选,,
T20260626-011,2026-06-25,,https://huggingface.co/papers/date/2026-06-25,Hugging Face,S,论文变应用,热点,2026-06-26T09:38:31.256Z,2026-06-26,Hugging Face Daily Papers candidate.,中文摘要待精校：这条英文信息来自 Hugging Face，发布前需要翻译为中文并说明它讲什么、为什么值得关注、对目标用户有什么意义。,适合发现论文变应用选题。,5,3,3,待核验,不需要,候选,,
T20260626-012,2606.27377,,https://huggingface.co/papers/2606.27377,Hugging Face,S,论文变应用,热点,2026-06-26T09:38:31.256Z,2026-06-26,Hugging Face Daily Papers candidate.,中文摘要待精校：这条英文信息来自 Hugging Face，发布前需要翻译为中文并说明它讲什么、为什么值得关注、对目标用户有什么意义。,适合发现论文变应用选题。,5,3,3,待核验,不需要,候选,,
T20260626-013,2606.27313,,https://huggingface.co/papers/2606.27313,Hugging Face,S,论文变应用,热点,2026-06-26T09:38:31.256Z,2026-06-26,Hugging Face Daily Papers candidate.,中文摘要待精校：这条英文信息来自 Hugging Face，发布前需要翻译为中文并说明它讲什么、为什么值得关注、对目标用户有什么意义。,适合发现论文变应用选题。,5,3,3,待核验,不需要,候选,,
T20260626-014,2606.26907,,https://huggingface.co/papers/2606.26907,Hugging Face,S,论文变应用,热点,2026-06-26T09:38:31.256Z,2026-06-26,Hugging Face Daily Papers candidate.,中文摘要待精校：这条英文信息来自 Hugging Face，发布前需要翻译为中文并说明它讲什么、为什么值得关注、对目标用户有什么意义。,适合发现论文变应用选题。,5,3,3,待核验,不需要,候选,,
T20260626-015,How agents are transforming work,Agent 正在怎样改变工作,https://openai.com/index/how-agents-are-transforming-work/,OpenAI,S,今日值得看,热点,2026-06-25,2026-06-26,OpenAI published an Economic Research article about Codex and agentic work adoption.,OpenAI 发布经济研究文章称 Agentic AI 正在把知识工作从一次问答推向可委托的长任务。文章用 Codex 使用数据说明非开发者和非技术部门也在增加 Agent 使用。但这些数据主要来自 OpenAI 和 Codex 场景，不能直接代表所有公司。,帮助普通职场人判断是否该从单纯学提示词转向学习拆任务、设约束和验收 Agent 产出。,5,4,5,已核验,未实测,待发布,drafts/xhs_2026-06-26_agentic-ai-work-shift.md,已生成事实核验、草稿和 7 页图文素材
T20260626-016,Codex 小红书图文流程实测,Codex 小红书图文流程实测,https://openai.com/index/how-agents-are-transforming-work/,本地实测+OpenAI,S,工具实测,工具,2026-06-26,2026-06-26,"Codex was used in this workspace to rewrite an AI news draft, update factcheck notes, generate source.json, render XHS cards, and run data validation.",本地实测显示，Codex 能辅助完成小红书图文生产中的草稿改写、事实核验清单、结构化源数据和卡片渲染，但不能替代人工选题、事实判断和发布审核。,帮助单人运营者判断 Codex 适合接哪些内容生产步骤，以及哪些步骤必须人工复核。,5,4,5,已核验,已实测,待发布,drafts/xhs_2026-06-26_codex-xhs-workflow-test.md,已生成事实核验、草稿和图文素材
T20260626-017,benchflow-ai/awesome-evals,AI Agent 评测资料库,https://github.com/benchflow-ai/awesome-evals,GitHub,S,开源项目拆解,开源,2026-06-26,2026-06-26,"A curated library of resources for building and evaluating AI agents, including papers, blogs, talks, tools, benchmarks, notes, and a PATTERNS.md playbook.",这是一个面向 AI Agent 构建和评测的 GitHub 资料库，整理论文、博客、演讲、工具、benchmark 和深度笔记，适合产品和工程团队建立 Agent 评测入门地图。,帮助读者从“看 Agent 演示”转向“设计 Agent 评测和验收清单”。,5,4,4,已核验,不需要,待发布,drafts/xhs_2026-06-26_awesome-agent-evals.md,已生成事实核验、草稿和图文素材
T20260626-018,Empowering GUI Agents via Autonomous Experience Exploration and Hindsight Experience Utilization for Task Planning,通过自主经验探索和事后经验利用提升 GUI Agent 的任务规划,https://arxiv.org/abs/2606.27330v1,arXiv,S,AI Agent 应用观察,Agent,2026-06-25,2026-06-26,"The paper studies GUI agents for repetitive web tasks and argues that low-level atomic skills do not guarantee high-level planning competence; it proposes PEEU to improve planning via autonomous exploration and hindsight experience.",该论文研究 GUI Agent 的任务规划问题，指出会操作低层按钮不等于具备高层规划能力，并提出通过自主探索和事后经验合成高层训练数据的方法。,帮助读者理解 GUI Agent 落地的关键不是会点击，而是能规划、泛化、处理异常和可复盘。,5,4,4,已核验,不需要,待发布,drafts/xhs_2026-06-26_gui-agent-planning.md,已生成事实核验、草稿和图文素材
T20260627-001,Previewing GPT-5.6 Sol,GPT-5.6 Sol 受限预览,https://openai.com/index/previewing-gpt-5-6-sol/,OpenAI,S,今日值得看,热点,2026-06-26,2026-06-27,"OpenAI announced a limited preview of the GPT-5.6 series, including Sol, Terra, and Luna, with access through API and Codex for select partners.",OpenAI 发布 GPT-5.6 系列受限预览，包括 Sol、Terra、Luna，并向 select partners 开放 API 和 Codex 访问。它的重点不只是新模型能力，而是前沿模型越来越需要同时看开放范围、成本、安全边界和适用任务。,帮助普通职场人和产品运营判断新模型信息该怎么看，避免把受限预览误解为人人可用。,5,4,4,已核验,未实测,待发布,drafts/xhs_2026-06-27_gpt-5-6-limited-preview.md,已生成事实核验、草稿和图文素材
T20260627-002,The Shift to Agentic AI: Evidence from Codex,Codex 证据显示 AI 使用正在转向长任务 Agent,https://arxiv.org/abs/2606.26959,arXiv+本地实测,S,工具实测,工具,2026-06-25,2026-06-27,"The paper analyzes Codex usage and reports growth in concurrent agents, skills, and long-running tasks; this workspace also tested Codex on a multi-file XHS content production workflow.",论文分析 Codex 使用数据，显示并发 Agent、skills 和长任务占比上升。本工作区结合今日内容生产流程，实际测试了 Codex 处理多文件、可校验的图文生产任务。,帮助内容创作者和运营判断长任务该如何交给 AI：用目录、规范、事实核验和验证命令控制风险。,5,4,5,已核验,已实测,待发布,drafts/xhs_2026-06-27_codex-long-task-workflow.md,已生成事实核验、草稿和图文素材
T20260627-003,OpenClaw,OpenClaw 开源个人 AI 助手,https://github.com/openclaw/openclaw,GitHub,S,开源项目拆解,开源,2026-06-27,2026-06-27,"OpenClaw is an open-source personal AI assistant that runs on your devices and connects channels through a local-first gateway with pairing and sandbox guidance.",OpenClaw 是一个开源个人 AI 助手项目，强调运行在用户自己的设备上，通过本地优先网关连接多渠道，并提供配对和沙箱等安全说明。,帮助读者判断个人 Agent 项目值得收藏在哪里、适合谁试，以及部署前必须看清哪些权限和安全边界。,5,4,4,已核验,未实测,待发布,drafts/xhs_2026-06-27_openclaw-personal-ai-assistant.md,已生成事实核验、草稿和图文素材
T20260627-004,Detecting AI Coding Agents in Open Source,在开源中检测 AI 编程 Agent,https://arxiv.org/abs/2606.24429,arXiv,S,AI Agent 应用观察,Agent,2026-06-23,2026-06-27,"The paper studies AI coding agent activity in open source repositories and argues that bot accounts and pull requests miss much of the activity.",该论文研究开源仓库中的 AI 编程 Agent 活动，指出只看 bot 账号或 PR 会漏掉大量 Agent 贡献，很多痕迹存在于提交、配置和元数据里。,帮助工程团队和开源维护者理解 AI 编程 Agent 已进入供应链审查问题，而不只是辅助写代码的效率工具。,5,4,4,已核验,不需要,待发布,drafts/xhs_2026-06-27_ai-coding-agents-open-source.md,已生成事实核验、草稿和图文素材
T20260628-001,OpenAI reveals its first AI processor: Jalapeño,OpenAI 首款自研推理芯片 Jalapeño 曝光,https://www.theverge.com/ai-artificial-intelligence/955939/openai-reveals-its-first-ai-processor-jalapeno,The Verge,B,今日值得看,热点,2026-06-24,2026-06-28,The Verge 报道 OpenAI 展示其首款自研 AI 推理处理器 Jalapeño 并与 Broadcom 合作部署。核心看点不是普通用户能否买到芯片，而是 AI 产品竞争正在进入推理成本、供给和速度层面。,中文说明：这里的 OpenAI、Jalapeño 和 Broadcom 都是报道中的机构或芯片名称，重点不是普通用户购买芯片，而是理解 AI 工具背后的推理算力和成本变化。,帮助普通职场人和产品运营理解：以后 AI 工具的价格、速度、上下文和 Agent 可用性，背后都可能受推理算力供给影响。,4,4,4,已核验,未实测,待发布,drafts/xhs_2026-06-28_openai-jalapeno-inference-chip.md,已生成事实核验、草稿和图文素材
T20260628-002,Hugging Face Daily Papers,Hugging Face Daily Papers 每日论文雷达,https://huggingface.co/papers,Hugging Face+本地实测,S,工具实测,工具,2026-06-26,2026-06-28,Hugging Face Daily Papers 是公开论文发现页面。本次实测用它筛出 OPID、Qwen-Image-Agent、GUI vs CLI 等论文线索；优点是无登录可浏览、聚合速度快，限制是排名和点赞不等于论文质量，必须回到 arXiv、GitHub 或模型卡核验。,中文说明：Hugging Face Daily Papers 是每日论文发现入口，OPID、Qwen-Image-Agent 和 GUI vs CLI 是本次筛选出的英文论文线索，发布前仍需回到论文或代码页面核验。,帮助内容创作者和产品运营建立每日 AI 论文选题雷达，但避免把社区热度当事实。,5,4,5,已核验,已实测,待发布,drafts/xhs_2026-06-28_hf-daily-papers-workflow.md,已生成事实核验、草稿和图文素材
T20260628-003,jinyangwu/OPID,OPID：Agent 训练的事后技能蒸馏框架,https://github.com/jinyangwu/OPID,GitHub+arXiv,S,开源项目拆解,开源,2026-06-25,2026-06-28,OPID 是一个围绕 On-Policy Skill Distillation 的开源项目，论文声称把已完成的 on-policy 轨迹转成分层 hindsight skills，用于提升长程 Agent 任务表现。仓库公开代码和安装说明，但依赖 Python、vLLM、flash-attn、OpenAI-compatible endpoint 和多个评测环境。,中文说明：OPID 是项目名，On-Policy Skill Distillation 可理解为从模型实际任务轨迹中蒸馏技能，hindsight skills 是事后总结出的可复用技能；这些术语用于解释 Agent 训练方法。,帮助轻技术和 Agent 研究读者判断：这类项目适合学习 Agent 训练思路，不适合作为普通办公工具直接上手。,5,3,4,已核验,未实测,待发布,drafts/xhs_2026-06-28_opid-agent-skill-distillation.md,已生成事实核验、草稿和图文素材
T20260628-004,"When Does Combining Language Models Help? A Model-Set Performance Analysis Through the Lens of Co-Failure",多模型组合什么时候有用？从共同失败看模型集合表现,https://arxiv.org/abs/2606.27288,arXiv,S,论文变应用,论文,2026-06-25,2026-06-28,该论文分析 67 个模型和 21 家提供方，提出 co-failure ceiling 共同失败上限。结论是：如果多个模型常在同一问题上失败，简单组合很难超过最佳单模型；模型组合真正有用，前提是不同模型在不同问题上犯错，并且有强查询级路由或验证机制。,中文说明：co-failure ceiling 可理解为共同失败上限，也就是多个模型在同一问题上一起错时，简单组合很难得到正确答案；这对用户意味着不能把多模型一致当成事实证明。,帮助普通用户理解：问多个 AI 得到一致答案，不等于答案更可靠；关键仍然是外部证据、验证器和任务适配。,5,4,5,已核验,不需要,待发布,drafts/xhs_2026-06-28_multi-model-cofailure-ceiling.md,已生成事实核验、草稿和图文素材
T20260628-005,Qwen-Image-Agent: Bridging Context Gaps for Real-World Image Generation,Qwen-Image-Agent：补齐真实生图需求的上下文缺口,https://arxiv.org/abs/2606.26907,arXiv,S,AI Agent 应用观察,Agent,2026-06-25,2026-06-28,Qwen-Image-Agent 论文指出真实生图需求常常缺少上下文，例如隐含知识、实时信息和迭代反馈。该框架把规划、推理、搜索、记忆和反馈接入文生图流程，目标是让生图系统先补齐需求上下文，再生成图像。,中文说明：Qwen-Image-Agent 是论文中的图像生成 Agent 框架，context gaps 可理解为上下文缺口，重点是让生图系统先补齐需求背景、限制和反馈，再执行生成。,帮助内容创作者和产品运营理解：生图 Agent 的价值不只是更会画，而是更会把模糊需求转成可执行视觉方案。,5,4,5,已核验,不需要,待发布,drafts/xhs_2026-06-28_qwen-image-agent-context-gap.md,已生成事实核验、草稿和图文素材
T20260628-006,"GUI vs. CLI: Execution Bottlenecks in Screen-Only and Skill-Mediated Computer-Use Agents",GUI 与 CLI 对比：计算机使用 Agent 的执行瓶颈,https://arxiv.org/abs/2606.24551,arXiv,S,AI Agent 应用观察,Agent,2026-06-23,2026-06-28,该论文比较 screen-only GUI agents 和 skill-mediated CLI agents 在桌面任务中的执行瓶颈。研究显示，GUI Agent 的瓶颈偏向长程交互中的可靠定位、点击和状态恢复；CLI 或技能型 Agent 的瓶颈则偏向技能接口覆盖度和可扩展性。,中文说明：screen-only GUI agents 可理解为只通过屏幕观察和点击操作的图形界面 Agent，skill-mediated CLI agents 可理解为通过命令行或预定义技能执行任务的 Agent；这篇论文帮助判断不同操作型 Agent 适合哪些任务。,帮助产品、运营和轻技术用户理解：做自动化 Agent 不一定要模拟人点屏幕，重复流程更应该沉淀技能、接口和验收器。,5,4,5,已核验,不需要,待发布,drafts/xhs_2026-06-28_gui-cli-agent-bottlenecks.md,已生成事实核验、草稿和图文素材
